地区,年份,孤儿数
北京,2018,30319.98
北京,2017,28014.94
北京,2016,25669.13
北京,2015,23014.59
北京,2014,21330.83
北京,2013,19800.81
北京,2012,17879.4
北京,2011,16251.93
北京,2010,14113.58
北京,2009,12153.03
天津,2018,18809.64
天津,2017,18549.19
天津,2016,17885.39
天津,2015,16538.19
天津,2014,15726.93
天津,2013,14442.01
天津,2012,12893.88
天津,2011,11307.28
天津,2010,9224.46
天津,2009,7521.85
河北,2018,36010.27
河北,2017,34016.32
河北,2016,32070.45
河北,2015,29806.11
河北,2014,29421.15
河北,2013,28442.95
河北,2012,26575.01
河北,2011,24515.76
河北,2010,20394.26
河北,2009,17235.48
山西,2018,16818.11
山西,2017,15528.42
山西,2016,13050.41
山西,2015,12766.49
山西,2014,12761.49
山西,2013,12665.25
山西,2012,12112.83
山西,2011,11237.55
山西,2010,9200.86
山西,2009,7358.31
内蒙古,2018,17289.22
内蒙古,2017,16096.21
内蒙古,2016,18128.1
内蒙古,2015,17831.51
内蒙古,2014,17770.19
内蒙古,2013,16916.5
内蒙古,2012,15880.58
内蒙古,2011,14359.88
内蒙古,2010,11672
内蒙古,2009,9740.25
辽宁,2018,25315.35
辽宁,2017,23409.24
辽宁,2016,22246.9
辽宁,2015,28669.02
辽宁,2014,28626.58
辽宁,2013,27213.22
辽宁,2012,24846.43
辽宁,2011,22226.7
辽宁,2010,18457.27
辽宁,2009,15212.49
吉林,2018,15074.62
吉林,2017,14944.53
吉林,2016,14776.8
吉林,2015,14063.13
吉林,2014,13803.14
吉林,2013,13046.4
吉林,2012,11939.24
吉林,2011,10568.83
吉林,2010,8667.58
吉林,2009,7278.75
黑龙江,2018,16361.62
黑龙江,2017,15902.68
黑龙江,2016,15386.09
黑龙江,2015,15083.67
黑龙江,2014,15039.38
黑龙江,2013,14454.91
黑龙江,2012,13691.58
黑龙江,2011,12582
黑龙江,2010,10368.6
黑龙江,2009,8587
上海,2018,32679.87
上海,2017,30632.99
上海,2016,28178.65
上海,2015,25123.45
上海,2014,23567.7
上海,2013,21818.15
上海,2012,20181.72
上海,2011,19195.69
上海,2010,17165.98
上海,2009,15046.45
江苏,2018,92595.4
江苏,2017,85869.76
江苏,2016,77388.28
江苏,2015,70116.38
江苏,2014,65088.32
江苏,2013,59753.37
江苏,2012,54058.22
江苏,2011,49110.27
江苏,2010,41425.48
江苏,2009,34457.3
浙江,2018,56197.15
浙江,2017,51768.26
浙江,2016,47251.36
浙江,2015,42886.49
浙江,2014,40173.03
浙江,2013,37756.59
浙江,2012,34665.33
浙江,2011,32318.85
浙江,2010,27722.31
浙江,2009,22990.35
安徽,2018,30006.82
安徽,2017,27018
安徽,2016,24407.62
安徽,2015,22005.63
